user_id,session_id,Clickout_Item_Counts,Platform,Device,City_Count,Session_Duration,Steps_Count,Interaction_Item_Rating_Count,Interaction_Item_Image_Count,Interaction_Item_Deals_Count,Change_of_Sort_Order_Count,Filter_Selection_Count,Search_for_Item_Count,Search_for_Destination_Count,Search_for_Poi_Count
7HILX8VRRAEK,065a19c1531e7,1,BR,desktop,1,159,2,0,0,0,0,0,0,0,0
417G01RY028C,7e9e194b657ee,1,BR,mobile,1,47,2,0,0,0,0,0,0,1,0
YYX07KYHE3AD,523979566da89,1,BR,mobile,1,153,58,0,55,0,0,0,0,1,0
8P2DVU049LMV,ea0a828e91ed7,1,BR,mobile,1,478,16,0,4,0,4,5,0,1,1
S128GA494VAE,92208249dbd64,1,BR,mobile,1,20,10,0,9,0,0,0,0,0,0
QZXADR57PT97,091343cdf025a,1,BR,mobile,1,41,2,0,0,0,0,0,1,0,0
0RWM37IAIJ3W,b3e731750d332,1,BR,mobile,1,0,1,0,0,0,0,0,0,0,0
CMLETVTVR6V8,75e8b0f17b1ed,1,BR,mobile,1,391,5,0,0,0,0,0,0,0,0
84YDT013A68S,e89c97730b21c,1,BR,desktop,4,2186,8,0,0,0,1,0,4,2,0
3FUUI3PUBTAY,144ef009b28a0,1,BR,mobile,1,447,6,0,2,0,0,0,0,1,0
PKMFY8HPXD99,1909e1656b79f,1,BR,desktop,1,76,2,0,0,0,0,0,0,1,0
57SY5253LDG6,8c6c424b0e719,1,BR,mobile,2,991,39,0,34,0,0,0,0,1,0
NHCSCEU15J6I,7799f5e5abc88,1,BR,mobile,1,24,18,0,17,0,0,0,0,0,0
GJMI5RBK0H28,9cdb5f1c88466,1,BR,desktop,1,1776,3,0,0,0,0,0,0,1,0
OFYD09F9E1RX,ff6cbed32617e,1,BR,mobile,1,131,2,0,0,0,0,0,0,1,0
2S3D81M2D38G,a03e204b4c843,1,BR,mobile,1,0,1,0,0,0,0,0,0,0,0
6ER6QLHOVXK7,c12cdc6d568bb,1,BR,desktop,1,106,18,0,16,0,0,0,0,1,0
YKC27GRUCMZI,15ba875ce64d5,1,BR,mobile,2,712,34,1,18,4,0,3,0,2,0
XJC6FH3VPUMG,d61c8cbad20b3,1,BR,mobile,1,98,9,0,2,1,2,1,0,1,0
3W0212QHTAM9,9b871a5402b2e,1,BR,desktop,1,994,32,1,24,0,0,0,0,0,0
R8EY9Z0IMBU1,8d633eb14e5e2,1,BR,mobile,1,4,3,0,2,0,0,0,0,0,0
S44VG43ANS4M,d4f899a748e7f,1,BR,desktop,1,3192,22,0,18,0,0,0,1,2,0
YJQDBOR5O6E8,f0d9d97c04ec9,1,BR,mobile,1,741,2,0,0,0,0,0,0,0,0
CF4NY6S558XW,48fbcc7deec9f,1,BR,desktop,1,2814,2,0,0,0,0,0,0,0,0
N041AN89ZW46,0437991299863,1,BR,mobile,1,651,6,0,0,0,0,3,0,0,0
XSZ3LXZ8NPAT,302eb84a12b81,1,BR,desktop,1,642,14,0,4,0,0,9,0,0,0
F1NBM10EFA9V,29537b9a7f5f9,1,BR,mobile,1,31,4,0,0,0,0,0,0,1,0
7BQMGD93IB9S,d06522c89dfe9,1,BR,mobile,1,0,1,0,0,0,0,0,0,0,0
TFI89O3XPG1S,d639cf19e6b79,1,BR,desktop,1,91,29,0,21,0,2,4,0,1,0
H7SVU8ZEW7XK,222c3660a9b34,1,BR,mobile,1,584,99,1,90,1,0,0,0,0,0
NQB1XZ3N6WUX,4204ac38a9a60,1,BR,desktop,2,648,29,1,20,0,0,6,0,0,0
6XD60QW9OXT0,92fdcf5e3fb21,1,BR,mobile,1,807,30,0,23,1,0,0,2,0,2
SKO57F3O4IQD,24a59a45fdabb,1,BR,mobile,1,79,3,0,2,0,0,0,0,0,0
UIJNNPJ2IEO9,8ba35fe3c0cd6,1,BR,desktop,1,30,2,0,0,0,0,0,1,0,0
ZMKNQ6VG98KB,d515248ae808a,1,BR,mobile,1,88,4,0,2,0,0,0,1,0,0
GQU6H5GOVT9K,1870b50101527,1,BR,mobile,1,26,2,0,0,1,0,0,0,0,0
F739W4XQIISR,b71dc0289aa51,1,BR,desktop,1,0,1,0,0,0,0,0,0,0,0
ACXOG0ZZX540,2c12b66567426,1,BR,desktop,1,107,4,0,0,0,0,1,0,1,1
5GYFU7DX5WCP,c07a706ca8329,1,BR,mobile,1,244,6,0,0,0,0,3,0,1,1
KWT2SBAS5Y9K,3c8cd90112ea9,1,BR,mobile,1,132,2,0,0,0,0,0,0,1,0
XCSUTERV917A,6ecbff19b7bb7,1,BR,mobile,1,692,11,4,4,0,0,0,0,0,0
9ECZKQIIP60G,584193b46511e,1,BR,mobile,2,164,5,0,2,0,0,0,0,0,1
X0QPGI8YKNV8,55685d79eeee0,1,BR,mobile,1,0,1,0,0,0,0,0,0,0,0
Y5UNW4JVYVFQ,be3aaa4c024a6,1,BR,mobile,2,238,5,0,2,0,0,0,0,1,1
O875GKJK868R,c1c4ee17c93e7,1,BR,mobile,1,0,1,0,0,0,0,0,0,0,0
ZDZ5M3XAT49N,4cf76af48a3f8,1,BR,desktop,1,0,1,0,0,0,0,0,0,0,0
NLWPJLTIZLXU,46fae87596f0d,1,BR,desktop,1,274,5,0,4,0,0,0,0,0,0
991V2TDM29X8,0e1dbfc498fb1,1,BR,desktop,1,582,7,1,5,0,0,0,0,0,0
O4861QGKJODL,fa7f3ce91ab78,1,BR,desktop,1,222,14,0,12,0,0,0,0,1,0
DNMXPN52486N,34ee99ee0270e,1,BR,mobile,2,3933,31,1,23,0,0,0,1,0,1
45A4ZBZIS4MM,d91302239c933,1,BR,mobile,1,326,128,1,124,1,0,0,0,0,0
TJGUKTJJSL8X,82083d9413623,1,BR,mobile,1,15,16,0,15,0,0,0,0,0,0
NF1BPKFQBAH2,a6be7f8f3e43c,1,BR,mobile,1,503,86,0,81,2,0,0,0,0,0
TJCIKYWW12E1,51763fd49ca4f,1,BR,mobile,1,26,2,0,0,0,0,0,0,1,0
82UOYOIEZQ17,8864c9217c697,1,BR,mobile,1,0,1,0,0,0,0,0,0,0,0
N0CCCX5JRG76,121bb6cb46e20,1,BR,mobile,1,1154,5,0,0,0,0,0,0,3,0
0A8HWMCKZ964,a45a0a3d8393a,1,BR,desktop,1,16,2,0,0,0,0,0,0,0,0
FY0GEI4U6UJ8,6003f3b95f7a8,1,BR,mobile,1,0,1,0,0,0,0,0,0,0,0
7F829OQEY5LN,c381c60513d36,1,BR,mobile,1,140,3,0,0,0,0,1,0,1,0
